복합유틸리티	해운사	기타금융	판매업체	출판	건축제품	사무용전자제품	레저용장비와제품	디스플레이장비및부품	기계	방송과엔터테인먼트	화학	전기유틸리티	교육서비스	가정용기기와용품	건축자재	컴퓨터와주변기기	전자장비와기기	문구류	통신장비	담배	핸드셋	반도체와반도체장비	건강관리기술	전기제품	양방향미디어와서비스	광고	독립전력생산및에너지거래	"호텔,레스토랑,레저"	"섬유,의류,신발,호화품"	IT서비스	게임엔터테인먼트	상업서비스와공급품	부동산	항공사	복합기업	기타	건강관리장비와용품	소프트웨어	건설	가정용품	가스유틸리티	운송인프라	전자제품	전기장비	화장품	다각화된통신서비스	에너지장비및서비스	생명보험	가구	제약	무선통신서비스	전문소매	생물공학	식품과기본식료품소매	손해보험	자동차부품	포장재	종이와목재	인터넷과카탈로그소매	항공화물운송과물류	백화점과일반상점	창업투자	우주항공과국방	식품	은행	도로와철도운송	석유와가스	증권	비철금속	음료	카드	생명과학도구및서비스	자동차	디스플레이패널	무역회사와판매업체	건강관리업체및서비스	조선	철강
					대림B&Co 			천보 *	케이피에프 *	하이브 	LG화학 		대교 	PN풍년 *	한일현대시멘트 	아이디피 *	하나기술 *		하이트론 		재영솔루텍 *	테크윙 *	제이엘케이 *	에스피지 *	캐리소프트 *	플레이디 *		노랑풍선 *	쌍방울 	소프트센 *	네오위즈 *	NICE평가정보 *	미래에셋맵스리츠 	대한항공 	SK우 	삼성 S&P500 VIX S/T 선물 ETN(H) C 	이루다 *	모바일리더 *	동부건설우 		한진중공업홀딩스 		KH 일렉트론 *	대원전선우 	에프앤리퍼블릭 *		젬백스지오 *			제일약품 			메디포스트 *		DB손해보험 	캐스텍코리아 *	한창제지 	깨끗한나라 	인터파크 *	세방 	베뉴지 *	한국제8호스팩 *	한국항공우주 	에이치피오 *			SK디스커버리 	DB금융투자 	티플랙스 *	롯데칠성 		크리스탈지노믹스 *					한국카본 	대한제강 
					덕신하우징 *			서울바이오시스 *	씨에스윈드 	에이스토리 *	미원상사 		로보로보 *	부방 *	부산산업 	주연테크 	디티앤씨 *		CS *		와이솔 *	서플러스글로벌 *		상아프론테크 *		인크로스 *		이월드 	토박스코리아 *	로지시스 *	SNK *	한국코퍼레이션 *	신한알파리츠 		CJ4우(전환) 	인카금융서비스 	피에이치씨 *	안랩 *	신원종합개발 *		대성에너지 		아리온 *	대한광통신 *	현대바이오랜드 *					일동홀딩스 			아시아종묘 *		삼성화재 	구영테크 *	세하 	한솔제지 	현대홈쇼핑 	국보 	대구백화점 	하나금융14호스팩 *	쎄트렉아이 *	한국맥널티 *			GS우 	상상인증권 	제낙스 *	MH에탄올 		휴마시스 *					한라IMS *	한국철강 
					뉴보텍 *			신화인터텍 *	에이치케이 *	지니뮤직 *	엔피케이 *		골드앤에스 *	경동나비엔 	홈센타홀딩스 *	에이텍 *	대주전자재료 *		아이앤씨 *		아모텍 *	한양디지텍 *		디피씨 				모두투어 *	휠라홀딩스 	포스코 ICT *	플레이위드 *	제넨바이오 *	SK디앤디 		삼성물산 	EMB 	제이브이엠 *	알체라 *	삼일기업공사 *		부산가스 		경남제약헬스케어 *	이화전기 *	에스디생명공학 *					이글벳 *			팬젠 *		흥국화재2우B 	성창오토텍 *	아세아 	무림P&P 		CJ제일제당 		엔에이치스팩13호 *	아이쓰리시스템 *	엠에스씨 *			S-Oil우 	한국금융지주우 	케이피티유 *	보해양조 		서흥 					에이치엘비 *	삼현철강 *
					대림통상 			쎄미시스코 *	아세아텍 *	위지윅스튜디오 *	원익큐브 *		청담러닝 *	신일전자 	한일홀딩스 	우리로 *	우리기술 *		유비벨록스 *		알에프세미 *	다믈멀티미디어 *		파워넷 *				용평리조트 	국동 	민앤지 *	미투온 *	SCI평가정보 *	롯데리츠 		CJ 	대신 인버스 2X 니켈선물 ETN(H) 	세종메디칼 *	누리플렉스 *	DL이앤씨 				모바일어플라이언스 *	제일전기공업 *	아모레G 					보령제약 			파멥신 *			SJM홀딩스 	태림포장 	성창기업지주 		CJ제일제당 우 		SV인베스트먼트 *	휴니드 	인산가 *			S-Oil 	NH투자증권우 	EG *	롯데칠성우 		우정바이오 *					인화정공 *	문배철강 
					국영지앤엠 *			선익시스템 *	혜인 	키이스트 *	포스코케미칼 		UCI *	하츠 *	쌍용C&E 	한프 *	심텍홀딩스 *		코콤 *		디지탈옵틱 *	네패스아크 *		두산퓨얼셀2우B 				남화산업 *	한섬 	한네트 *	선데이토즈 *	KTcs 	ESR켄달스퀘어리츠 		SK네트웍스 	에이비온 	하이로닉 *	윈스 *	삼성엔지니어링 				LG전자 	LS ELECTRIC 	애경산업 					현대약품 			테고사이언스 *			코프라 *	아세아제지 	SUN&L 		한익스프레스 		이베스트스팩5호 *	LIG넥스원 	크라운해태홀딩스 			경동인베스트 	교보증권 	코센 *	네이처셀 *		피엔케이피부임상연구센타 *					세진중공업 	광진실업 *
					이건홀딩스 *			세진티에스 *	유니슨 *	코퍼스코리아 *	인바이오 *		로보티즈 *	파세코 *	유진기업 *	센트럴인사이트 	이수페타시스 		서진시스템 *		육일씨엔에쓰 *	DB하이텍1우 		원익피앤이 *				서부T&D *	대현 	대신정보통신 *	룽투코리아 *	고려신용정보 *	코람코에너지리츠 		삼성물산우B 	시그넷이브이 	레이언스 *	라온시큐어 *	한미글로벌 				에이디칩스 *	일진홀딩스 	아모레G우 					하이텍팜 *			진매트릭스 *			일지테크 *	승일 *					신한제6호스팩 *	한화에어로스페이스 	롯데지주우 			현대중공업지주 	대신증권2우B 	남선알미우 			엔젠바이오 *					STX엔진 	영흥 
								우리조명 *	두산인프라코어 	에스엠 *	한국바이오젠 *		멀티캠퍼스 *	한독크린텍 *	삼일씨엔에스 	엠젠플러스 *	바이오스마트 *		현대에이치티 *		드림텍 	엘비세미콘 *		삼성SDI 				호텔신라 	브랜드엑스코퍼레이션 *	롯데정보통신 	펄어비스 *	에스원 	모두투어리츠 			노드메이슨 	덴티스 *	영림원소프트랩 *	코리아에스이 *				LG전자우 	세명전기 *	한국콜마홀딩스 					SK바이오사이언스 			큐리언트 *			SG&G *	대림제지 *					유안타제5호스팩 *	에이트원 *	윙입푸드 *			대성산업 	SK증권우 	쎄니트 *			나노엔텍 *					HSD엔진 	TCC스틸 
								우리바이오 *	넥스턴바이오 *	스카이라이프 	WISCOM 		대교우B 		일신석재 	앱코 *	이트론 *		알엔투테크놀로지 *		에스에이티 *	케이씨텍 		파워로직스 *				신세계푸드 	그리티 *	케이엘넷 *	아이톡시 *	누리플랜 *	한국자산신탁 			삼성 인버스 2X WTI원유 선물 ETN 	제노레이 *	지란지교시큐리티 *	KT서브마린 *				아남전자 	대한전선 	스킨앤스킨 *					위더스제약 *			신라젠 *			모베이스전자 *	신대양제지 					SK5호스팩 *		서울식품우 			GS 	미래에셋증권2우B 	동국알앤에스 *			프리시젼바이오 *					대양전기공업 *	한국주강 
								클라우드에어 *	티에스아이 *	SBS콘텐츠허브 *	KG케미칼 		YBM넷 *		보광산업 *	케이씨티 *	이그잭스 *		텔콘RF제약 *		KH바텍 *	리노공업 *		에이에프더블류 *				강원랜드 	한세예스24홀딩스 	한국전자금융 *	COWON *	자연과환경 *				삼성 인버스 2X 구리 선물 ETN(H) 	인바디 *	소프트캠프 *	GS건설 				가온미디어 *	대원전선 	에이씨티 *					셀트리온제약 *			애니젠 *			모트렉스 *	삼양패키징 					유안타제4호스팩 *		우성사료 			대한그린파워 *	신영증권 	한국내화 			바디텍메드 *					케이프 *	하이스틸 
								우리이앤엘 *	삼익THK 	에프엔씨엔터 *	스타플렉스 *		아이스크림에듀 *		동양 	메디프론 *	아이티엠반도체 *		유비쿼스홀딩스 *		유아이엘 *	텔레칩스 *		성문전자 				호텔신라우 	형지I&C *	케이씨에스 *	엔씨소프트 	NICE 				다이오진 	마이크로디지탈 *	케이사인 *	남화토건 *					가온전선 	자안코스메틱 *					박셀바이오 *			제노포커스 *			한국앤컴퍼니 	신풍제지 					키움제5호스팩 *		대주산업 *			흥구석유 *	키움증권 	국일신동 *			대한과학 *					오리엔탈정공 *	한국특강 
								와이엠씨 *	에스에프에이 *	덱스터 *	한일화학 *		아이비김영 *		KCC 	에이루트 *	슈프리마아이디 *		우리넷 *		와이제이엠게임즈 *	유니셈 *		삼화콘덴서 				MP그룹 *	아가방컴퍼니 *	쿠콘 *	엠게임 *	아이마켓코리아 				신한 인버스 2X 구리 선물 ETN 	코렌텍 *	더존비즈온 	일성건설 					KBI메탈 *	블러썸엠앤씨 *					대웅제약 			메디톡스 *			케이엔더블유 *	엠투엔 *					신영스팩5호 *		오뚜기 			중앙에너비스 *	코리아에셋투자증권 *	서원 			인트론바이오 *					STX중공업 	대호특수강 *
								케이엔제이 *	에이테크솔루션 *	CJ ENM *	에스폴리텍 *				모헨즈 *	디지아이 *	에스텍 *		기산텔레콤 *		엑스큐어 *	티씨케이 *		동양이엔피 *					리노스 *	인포뱅크 *	카카오게임즈 *					신한 인버스 2X WTI원유 선물 ETN(H) 	원익 *	텔코웨어 	한양이엔지 *					비츠로테크 *	코디 *					셀트리온헬스케어 *			올릭스 *			삼성공조 	금비 					하나금융15호스팩 *		남양유업우 				미래에셋증권우 	그린플러스 *			레고켐바이오 *					현대미포조선 	한일철강 
								예선테크 *	레인보우로보틱스 *	티비씨 *	동남합성 				에스와이 *		아이디스 *		오이솔루션 *		크루셜텍 *	엠케이전자 *		삼성SDI우 					제이에스티나 *	엔텔스 *	NHN 					대신 인버스 철광석 선물 ETN(H) 	아이센스 *	오상자이엘 *	티와이홀딩스 					지엔씨에너지 *	폴루스바이오팜 					옵티팜 *			녹십자셀 *			동아타이어 	대륙제관 *					대신밸런스제7호스팩 *		동원산업 				메리츠증권 	태경비케이 			디엔에이링크 *					한국조선해양 	한국선재 *
								파인디앤씨 *	대모 *	NHN벅스 *	한솔케미칼 				KH E&T *		솔루엠 		코위버 *		엠씨넥스 *	주성엔지니어링 *		엘앤에프 *					신영와코루 	인포바인 *	드래곤플라이 *					QV 인버스 레버리지 WTI원유 선물 ETN(H) 	제테마 *	투비소프트 *	DL이앤씨우 					현대일렉트릭 	코스온 *					파마리서치 *			고바이오랩 *			화신정공 *	연우 *					DB금융스팩8호 *		마니커에프앤지 *				이베스트투자증권 *	피제이메탈 *			랩지노믹스 *					대우조선해양 	금강철강 *
								덕산네오룩스 *	비디아이 *	iMBC *	KPX홀딩스 				동화기업 *		인터플렉스 *		머큐리 *		이엠텍 *	솔브레인 *		서울전자통신 *					진도 	가비아 *	조이시티 *					에이스캠퍼 	바텍 *	아톤 *	동부건설 					LS 	LG생활건강 					노바렉스 *			케어젠 *			영화금속 	동원시스템즈 					IBKS제14호스팩 *		메지온 *				대신증권우 	알루코 			피씨엘 *					메디콕스 *	동일산업 
								제이엠티 *	진성티이씨 *	애니플러스 *	롯데케미칼 				유니온 		삼성전기우 		스카이문스테크놀로지 *		하이비젼시스템 *	엘오티베큠 *		두산퓨얼셀1우 					인디에프 	세틀뱅크 *	넥슨지티 *					나눔테크 	디알텍 *	휴네시온 *	신세계건설 					서전기전 *	한국화장품제조 					에이치엘비제약 *			농우바이오 *			네오오토 *	펌텍코리아 *					IBKS제12호스팩 *		CJ씨푸드 				삼성증권 	고려아연 			퀀타매트릭스 *						NI스틸 
								디바이스이엔지 *	광림 *	스튜디오드래곤 *	나노 *				SG *		액트 *		파이오링크 *		동운아나텍 *	기가레인 *		명성티엔에스 *					DI동일 	한일네트웍스 *	게임빌 *					삼성 인버스 2X 은 선물 ETN(H) 	세운메디칼 *	웹케시 *	현대건설우 						CSA 코스믹 *					넥스트BT *			펩트론 *			태원물산 	동원시스템즈우 					한국9호스팩 *		사조오양 				유안타증권 	DSR 			바이오톡스텍 *						대호특수강우 *
								파인텍 *	우진 	SBS미디어홀딩스 	AK홀딩스 				노루홀딩스 		유일에너테크 *		라이트론 *		디스플레이텍 *	테스나 *		크로바하이텍 *					배럴 *	데이타솔루션 *	액션스퀘어 *					신한 인버스 2X 은 선물 ETN(H) 	네오펙트 *	인피니티엔티 *	범양건영 						코리아나 *					일동제약 			코아스템 *			네오티스 *						유안타제8호스팩 *		체리부로 *				대신증권 	현대비앤지스틸우 			엔케이맥스 *						한국주철관 
								아바코 *	화천기계 	레드로버 *	SKC 				강남제비스코 		코리아써키트 		뉴지랩파마 *		노바텍 *	디아이 		이노메트리 *					일신방직 	솔트룩스 *	넷게임즈 *					TIGER 차이나전기차SOLACTIVE 	인터로조 *	퓨전 *	DL 						바른손 *					신신제약 *			셀레믹스 *			세종공업 						에이치엠씨제4호스팩 *		행남사 *				유안타증권우 	대호에이엘 			씨젠 *						동국산업 *
								탑엔지니어링 *	동일금속 *	제이웨이 *	진양홀딩스 				케이씨씨글라스 		고영 *		에스넷 *		파인테크닉스 *	피에스케이 *		KH 필룩스 					조광피혁 	율호 *	더블유게임즈 					이노벡스 	오스템임플란트 *	엔지스테크널러지 *	코오롱글로벌 						한국콜마 					중앙백신 *			싸이토젠 *			우신시스템 						SK6호스팩 *		대상홀딩스 				미래에셋증권 	현대비앤지스틸 			엑세스바이오 *						동양철관 
								루멘스 *	프리엠스 *	세기상사 	스카이이앤엠 *				노루페인트우 		현우산업 *		인성정보 *		캠시스 *	와이아이케이 *		디에이테크놀로지 *					BYC우 	에스트래픽 *	위메이드맥스 *					신한 인버스 브렌트원유 선물 ETN(H) 	클래시스 *	링크제니시스 *	우진아이엔에스 						코스메카코리아 *					명문제약 			에이비엘바이오 *			넥센 						한화플러스제1호스팩 *		케이씨피드 *				한양증권우 	제일연마 									KISCO홀딩스 
								아이엘사이언스 *	씨에스베어링 *	이스타코 	코오롱플라스틱 				LG하우시스우 		엔시스 *		아이즈비전 *		앤디포스 *	해성디에스 		비츠로셀 *					디케이앤디 *	한국정보인증 *	웹젠 *					씨엔티드림 	메디아나 *	핸디소프트 *	희림 *						엔에프씨 *					코미팜 *			서린바이오 *			디젠스 *						엔에이치스팩18호 *		동원수산 				한국금융지주 	삼아알미늄 									대창스틸 *
								DMS *	휴림로봇 *	이에스에이 *	진양폴리 				성신양회우 		삼성전기 		텔레필드 *		우주일렉트로 *	티엘비 *		피에스텍 *					한세엠케이 	삼성에스디에스 	컴투스 *					오션스톤 	시너지이노베이션 *	이니텍 *	KD *						씨티케이코스메틱스 *					제일파마홀딩스 			클리노믹스 *			서연 						하이제6호스팩 *		대한제당 				한양증권 	풍산 									세아특수강 
								에프엔에스테크 *	코메론 *	소리바다 *	미원화학 				LG하우시스 		이녹스첨단소재 *		에프알텍 *		서원인텍 *	ISC *		신화콘텍 *					전방 	모비릭스 *	썸에이지 *					펨토바이오메드 	피제이전자 *	시큐브 *	특수건설 *						제이준코스메틱 					삼진제약 			쎌바이오텍 *			THE MIDONG *						유진스팩5호 *		사조산업 				현대차증권 	포스코강판 									DSR제강 
								인지디스플레 *	대창솔루션 *	현대퓨처넷 	태경케미컬 				삼화페인트 		파크시스템스 *		삼지전자 *		성우전자 *	예스티 *		아비코전자 *					한세실업 	엠브레인 *	네오위즈홀딩스 *					신한 인버스 천연가스 선물 ETN(H) 	비올 *	한글과컴퓨터 *	HDC 						컬러레이 *					동구바이오제약 *			프로스테믹스 *			코리아에프티 *						상상인이안1호스팩 *		남양유업 				한화투자증권 	이구산업 									화인베스틸 
								에스엔유 *	로보스타 *	JYP Ent. *	이엔드디 *				노루페인트 		에스티큐브 *		케이엠더블유 *		엔피디 *	제너셈 *		씨아이에스 *					LS네트웍스 	콤텍시스템 						지오씨 	한국비엔씨 *	알서포트 *	진흥기업 						한국화장품 					에이치엘사이언스 *			바이오리더스 *			대성엘텍 *						SK4호스팩 *		마니커 				한화투자증권우 	대창 									경남스틸 *
